一汽集团	徐平	company/person/chairman	1月16日，大众汽车集团管理董事会成员、大众汽车集团(中国)总裁兼CEO海兹曼在长春，与一汽集团董事长徐平、奥迪股份公司管理董事会主席施泰德共同签署《一汽、奥迪十年商业计划》时表示
百度	李彦宏	company/person/chairman	百度李彦宏:了解用户高级目标而非追随本能喜好
万达	王健林	company/person/chairman	万达集团董事长王健林曾经说过，“人多、腕大、活跃”是绿公司年会的三大特点
格力电器	董明珠	company/person/chairman	2、格力杀入汽车空调业今年要卖3万部格力电器微信公众号消息，格力电器董事长董明珠在接受媒体采访时回应了格力电器将进军汽车空调一事
阿里云	饿了么	company/company/cooperate	”是啊，现在饿了么也跟阿里云合作研发怎样用人工智能送外卖了	
伊利	潘刚	company/person/chairman	伊利董事长潘刚竟称可给员工涨薪，把苦哈哈的其他乳业企业惊呆了
三星	索尼	company/company/compete	海信、三星、索尼、LG都在追逐激光电视,它到底是不是噱头?
阿里巴巴	豌豆荚	company/company/acquisition	豌豆荚CEO:我们主动选择卖给阿里巴巴
万达	王健林	company/person/chairman	　　不久前，一段关于万达集团董事长王健林入乡随俗，集团年会登台献唱黄梅戏的视频在网络广为流传，一时间刷爆了各大媒体
百度	易车网	company/company/invest	?易车网创始人、董事长兼CEO李斌表示：“今天我们很高兴宣布获得全球领先企业腾讯、百度和京东等战略合作伙伴的新一轮投资
奥迪	鲁珀特·施塔德勒	company/person/chairman	经销商增速过快，压力激增，2013年,奥迪加速了经销商的发展，时任德国奥迪汽车公司董事会主席鲁珀特·施塔德勒在接受采访时透露,2013年开始,奥迪计划在中国以平均每周新增一家经销商的速度发展
伊利股份	贵州茅台	unknown	目前盘面特征有点类似2005年下半年右侧，本轮2018年6月至今前期强势股贵州茅台(行情600519,诊股)最大跌幅35.8%、美的集团(行情000333,诊股)最大跌幅41.3%、恒瑞医药(行情600276,诊股)最大跌幅40.2%、伊利股份(行情600887,诊股)最大跌幅34.3%。
吉利	宝腾	company/company/acquisition	目前来看，最终是否收购、何时收购还没有明确的官方确认，我们还不得而知，不过从国人自身角度来看，作为本土品牌的吉利有能力收购像宝腾这样的企业还是彰显了企业实力，为国人赢得了面子
欧莱雅	美即	company/company/acquisition	欧莱雅65亿港元收购美即警示:或沦为下一小护士
苹果	苏宁	company/company/cooperate	不到4千买全新国航苹果11,苏宁J-10%，让友商颤抖
诺基亚	联发科	company/company/cooperate	诺基亚发布三款新机,搭载联发科Helio，P22
中兴	赵先明	company/person/chairman	中兴通讯跌停后一日，总裁赵先明减持套现逾500万
拉勾网	许单单	company/person/chairman	许单单回应拉勾网内讧裁员:一场误会
微软	联盟	company/company/cooperate	微软耐克星巴克等宣布组建碳减排联盟
董明珠	刘姝威	unknown	董明珠2017年3月在一个论坛上讽刺美的百亿收购时，刘姝威也同仇敌忾，批评这是一件很糟糕的收购，称“人家会以为中国企业有钱，给其他企业造成很大困难。
奥迪	上汽	company/company/cooperate	上汽奥迪A7L白车身曝光,车尾造型奇葩,奥迪A6L:睡着都能笑醒
猫眼	淘票票	company/company/compete	人民网说《花木兰》口碑光速崩塌是参考猫眼和淘票票等购票平台
富士康	摩拜单车	company/company/invest	摩拜单车先于ofo完成D轮融资，又获得富士康战略投资
华为	孙亚芳	company/person/chairman	华为女皇孙亚芳,辞去处级干部加入华为,任正非:世上她最懂我
顺丰	王卫	company/person/chairman	职场百科:顺丰王卫掏5亿,每人888红包,顺丰薪酬福利多豪横
丰田	铃木	company/company/cooperate	换标铃木的丰田旅行车欧洲上市了,咱们的呢?
云南白药	同仁堂	unknown	重销售轻研发模式很容易造成药品问题频发，在上文刚刚提到的6家上市公司中，步长制药的主打品之一丹红注射液被预警列入重点监控、云南白药牙膏涉嫌虚假宣传案件、同仁堂过期蜂蜜事件，以及美年健康假医生事件，都成为耳熟能详的医药黑天鹅事件。
联想	诺基亚	company/company/acquisition	诺基亚最终被微软收购，但基本上已经改头换面，不再有独立的手机品牌出现
伊利	潘刚	company/person/chairman	伊利集团潘刚:带领全行业跑好全面建成小康社会的“最后一公里”
阿里巴巴	豌豆荚	company/company/acquisition	2016年7月，豌豆荚被阿里巴巴收购，并入阿里移动，价格据说只有不到2亿美元
腾讯	京东	company/company/invest	世界500强排名京东力压阿里腾讯;饿了么起诉美团;麦当劳外包装检出...
微软	领英	company/company/acquisition	科技巨头也顶不住了，微软旗下领英裁员近千人
阿里巴巴	马云	company/person/chairman	阿里巴巴的“老干部”马云,多姿多采的“退休”生活
中信建投	黄文涛	unknown	中信建投黄文涛:美国就业逆风渐起谁是主线?
宝马	王者荣耀	company/company/cooperate	英雄汇聚,忠于热爱，德凯宝马CLUB，3，x，王者荣耀电竞赛圆满落幕
微软	神舟公司	company/company/cooperate	在今年，神舟公司、京东商城、微软也将会有深入的合作
滴滴出行	程维	company/person/chairman	CEO程维强调服务好滴滴司机,滴滴出行八周年大会见解
中通	赖梅松	company/person/chairman	图为中通董事长赖梅松（第一排左起第五位）与公司高管、网络合作伙伴、基层员工、客户代表在纽交所敲钟
雪铁龙	通用	company/company/acquisition	收购通用汽车旗下的欧宝(Opel)和沃克斯豪尔(Vauxhall)品牌，将为标致雪铁龙集团赢得欧洲乘用车市场16.3%的份额，使其超越法国竞争对手雷诺汽车跃居第二，仅次于德国大众汽车
通用	Lyft	company/company/invest	通用Lyft将在一年内测试无人驾驶出租车
富士康	夏普	company/company/acquisition	网传富士康退出零售领域,富连网转交日本夏普
大众	保时捷	company/company/acquisition	保时捷911布局,全新A3,能不能收割大众,本田合资产品
淘票票	猫眼	company/company/compete	猫眼大年三十港股上市!淘票票、腾讯影视怎么处理与“表亲戚”之间...
云南白药	同仁堂	unknown	中药：云南白药(行情000538,诊股)、同仁堂(行情600085,诊股)、东阿阿胶(行情000423,诊股)等。
富士康	软银	company/company/cooperate	阿里、富士康、软银联手“玩”人形机器人
申通	万科	company/company/cooperate	上海万科已经与申通地铁跨界合作，开始实践这一模式	
华为	小米	company/company/compete	网络黑子,请收起你们的键盘,别再喷华为和小米了
联想控股	柳传志	company/person/chairman	联想控股彻底退出P2P平台奇乐融，柳传志曾寄语把握好大时代的机遇
阿里	京东	company/company/compete	”同时，他还提出未来12年的战略，他表示，京东要在2021年前，超越阿里，成为中国第一大B2C平台
搜房	莫天全	company/person/chairman	搜房莫天全:移动化、金融化将是搜房新的发展方向
百度	李彦宏	company/person/chairman	百度创始人李彦宏:全球新闻传播领域已呈现出智能化发展趋势
微软	联盟	company/company/cooperate	深圳微软教育信息技术生态产业联盟中心:打造“互联网+教育”绿色...
微软	Linkedin	company/company/acquisition	占据3000亿美金市场份额40%的公司都已经被收购了，其中包括：被微软收购的Linkedin
伊利股份	贵州茅台	unknown	港交所数据显示，5月1日至5月27日，沪股通标的中，上海机场(行情600009,诊股)的北向资金持股比例下降2.38个百分点，减持力度最大；福耀玻璃(行情600660,诊股)、白云机场(行情600004,诊股)、贵州茅台、恒瑞医药以及伊利股份(行情600887,诊股)等标的的减持幅度也靠前。
顺丰	王卫	company/person/chairman	顺丰王卫壕发5亿红包:员工每人888元,股价涨停、身价日涨220亿
华为	小米	company/company/compete	OPPO官宣入局智能电视，与小米华为交锋
中兴	英特尔	company/company/cooperate	中兴英特尔智能手机2012年下半年上市
百度	谷歌	company/company/compete	百度和李彦宏要再赢一次谷歌,网友的表态为什么一边倒?
腾讯	京东	company/company/compete	曾经的电商巨头,发展前景堪忧,腾讯京东加入也翻不了盘
阿里巴巴	京东	company/company/compete	以上观点都是为了说明京东有可能超越阿里成为国内B2C第一平台的理由
顺丰	圆通	company/company/compete	新的物流机会来了，顺丰邮政圆通菜鸟等企业已抢先布局
乐视	贾跃亭	company/person/chairman	　　去年12月10日-11日，“2016年中国企业领袖年会”在北京举行，乐视董事长兼CEO贾跃亭作为年会主席出席了活动，并在发言时承认了企业“摔跤”
腾讯	拳头游戏	company/company/acquisition	2015年底，腾讯宣布收购拳头游戏，实现了对后者100%的控股
百度	搜狗	company/company/compete	搜狗挑战百度是王小川的梦想,但如今他离这个梦越来越远
融创	乐视	company/company/invest	孙宏斌“逃离”乐视与拽合起来的融创文化集团
TheFancy	Pinterest	company/company/compete	TheFancy与其主要竞争对手Pinterest相比，还显得较小。
联想	摩托罗拉	company/company/acquisition	收购摩托罗拉手机业务近两年后,联想再次“瘦身”
日产	东风	company/company/cooperate	东风日产:别看我月月夺冠,其实我内心慌得一批
阿里巴巴	InfinityAR	company/company/invest	阿里巴巴投资的以色列AR公司InfinityCEOMottiKurshir在采访中表示
猫眼	淘票票	company/company/compete	“后票补”时代直追猫眼淘票票10亿加码流量争夺战
搜房	莫天全	company/person/chairman	搜房莫天全做客央视，支招中国概念股信任危机
联想	腾讯	company/company/cooperate	软硬结合智慧互联，联想携手腾讯打造SIoT新篇章
雪铁龙	欧宝	company/company/cooperate	标志雪铁龙将以22亿欧元收购通用欧宝
福特	法拉利	company/company/acquisition	60年代初，福特汽车为进军欧洲，尝试收购陷入财务危机的法拉利，但在赛车业务遭到拒绝，为了羞辱法拉利，福特作为厂商车队开始了勒芒之旅
猫眼	淘票票	company/company/compete	淘票票、猫眼相继发布公告:春节档期间武汉地区均可无条件退票
本田	广汽	company/company/compete	对话杨松玲|广汽本田当下面临的课题之一:如何迎合年轻人?
雪铁龙	通用	company/company/acquisition	通用的发动机,三菱的发动机,雪铁龙的发动机,实力一目了然!
赛格集团	英唐智控	company/company/invest	在营业收入破120亿之际,英唐智控积极引入战略投资者赛格集团。
晨兴资本	快手	company/company/invest	晨兴资本张斐:拆解投资全过程,还原被神秘化的快手
吉利	沃尔沃	company/company/acquisition	2010年3月，吉利耗资18亿美元，从福特手里收购了持续亏损的沃尔沃轿车100%股权，运用杠杆收购，吉利将当时总营收超过自己20倍的豪华车巨头收入囊中
保时捷	奥迪	company/company/cooperate	被车标耽误的豪车,和保时捷卡宴同平台,比奥迪Q7霸气,却无人识
通用	欧宝	company/company/acquisition	由于通用汽车加强对欧宝和沃克斯豪尔的关注雪佛兰退出欧洲市场
上汽	奥迪	company/company/cooperate	上汽奥迪A7L为什么与A6L相似?轿跑变三厢“溜背”不见了!
阿里	Lazada	company/company/acquisition	在收购Lazada后，阿里开始帮助国内零售商家登陆该平台，向东南亚消费者售卖产品
申万宏源	王胜	unknown	申万宏源王胜:2020年一季度科技股值得期待
雪铁龙	福特	company/company/compete	Vertu将雪铁龙添加到Bristol，Street，Motors福特伍斯特经销商中
淘票票	猫眼	company/company/compete	猫眼、淘票票、大麦们熬过了冬天,能不能挺过春天
海通证券	荀玉根	unknown	牛市早报|海通证券荀玉根称反弹进入后期,美联储本周再议息
红杉资本	谷歌	company/company/invest	美国红杉资本成立于1972年，从硅谷起步，迄今投资了700多家公司，这其中，包括了苹果、谷歌、雅虎、甲骨文等国际科技巨头
丰田	福特	company/company/compete	同样大7座SUV,看完改款后的福特锐界,还要啥丰田汉兰达?
晨兴创投	易到	company/company/invest	易到获得晨兴创投等投资公司千万美金级投资
大众	海兹曼	company/person/chairman	8年国产40款新能源车打底,海兹曼:大众对未来充满信心
通用	Lyft	company/company/cooperate	通用总裁卸任Lyft董事职位,双方关系曾一度紧张
雪铁龙	通用	company/company/acquisition	雪铁龙与通用宣布其全球战略联盟新进展
阿里巴巴	豌豆荚	company/company/acquisition	阿里巴巴豪掷13.3亿，豌豆荚将称囊中物
一汽	东风	company/company/cooperate	一汽与东风共同创建的“前瞻共性技术创新中心”战略合作框架协议签约仪式在长春举行	
云南白药	同仁堂	unknown	在太极集团的股吧论坛中，有股民向董秘提问为何公司的净利低于同行水平，董秘据此回答道，由于“历史原因”，公司的资本金偏少（据《投资者网》此前报道，企查查数据显示，太极集团的注册资本为5.57亿元，低于13.7亿元的同仁堂、10.4亿元的云南白药(行情000538,诊股)和25.2亿元的哈药股份(行情600664,诊股)），公司的发展依靠自身积累及负债，导致各项成本费用较高，利润偏低。
高铁	民航	company/company/compete	公路?高铁?民航?老百姓出行最中意啥?济南春运大数据新鲜出炉
伊利股份	贵州茅台	unknown	从持股市值排名居前的个股来看，本周北上资金对贵州茅台、中国平安(行情601318,诊股)、美的电器、格力电器、恒瑞医药(行情600276,诊股)、招商银行(行情600036,诊股)、五粮液、海康威视(行情002415,诊股)、伊利股份(行情600887,诊股)等个股均进行了不同程度的减持。
